observed_at,handle,candidate,party,district,match_type,ad_id,prev_status,new_status,transition_label,new_statement,reach_upper,estimated_eur_mid,first_shown,last_shown,ad_url
2026-08-15 04:33:52,blackdreamscottage,,ΑΜΔΗ,,party_supporter,1872714472576001,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-08-05,2026-08-06,https://library.tiktok.com/ads/detail/?ad_id=1872714472576001
2026-08-15 04:33:52,blackdreamscottage,,ΑΜΔΗ,,party_supporter,1872714573690882,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-08-05,2026-08-06,https://library.tiktok.com/ads/detail/?ad_id=1872714573690882
2026-08-15 04:33:52,blackdreamscottage,,ΑΜΔΗ,,party_supporter,1872602955393025,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,2,2026-08-04,2026-08-05,https://library.tiktok.com/ads/detail/?ad_id=1872602955393025
2026-08-15 04:33:52,deme2023,Χατζησταύρου Δήμητρα,ΑΜΔΗ,Λεμεσός,manual_resume,1870958516430850,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-07-17,2026-07-18,https://library.tiktok.com/ads/detail/?ad_id=1870958516430850
2026-08-15 04:33:52,neadynami,,Νέα Δυναμική,,political_movement,1870592083670338,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,2,2026-07-13,2026-07-16,https://library.tiktok.com/ads/detail/?ad_id=1870592083670338
2026-08-15 04:33:52,antonis.antoniou_,Αντωνή Αντώνης,ΕΔΕΚ,Λάρνακα,manual_resume,1870491696728065,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,28,2026-07-12,2026-07-19,https://library.tiktok.com/ads/detail/?ad_id=1870491696728065
2026-08-15 04:33:52,deme2023,Χατζησταύρου Δήμητρα,ΑΜΔΗ,Λεμεσός,manual_resume,1870349324383362,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-07-10,2026-07-11,https://library.tiktok.com/ads/detail/?ad_id=1870349324383362
2026-08-15 04:33:52,neadynami,,Νέα Δυναμική,,political_movement,1870215639926786,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-07-09,2026-07-10,https://library.tiktok.com/ads/detail/?ad_id=1870215639926786
2026-08-15 04:33:52,neadynami,,Νέα Δυναμική,,political_movement,1870158387667010,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,28,2026-07-08,2026-07-11,https://library.tiktok.com/ads/detail/?ad_id=1870158387667010
2026-08-15 04:33:52,neadynami,,Νέα Δυναμική,,political_movement,1869348937019394,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,28,2026-06-29,2026-07-01,https://library.tiktok.com/ads/detail/?ad_id=1869348937019394
2026-08-15 04:33:52,deme2023,Χατζησταύρου Δήμητρα,ΑΜΔΗ,Λεμεσός,manual_resume,1869052105415106,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-06-26,2026-06-27,https://library.tiktok.com/ads/detail/?ad_id=1869052105415106
2026-08-15 04:33:52,elenachristou1,Χρίστου Έλεν,ΣΗΚΟΥ ΠΑΝΩ,Λεμεσός,manual_resume,1868966621869441,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-06-25,2026-06-26,https://library.tiktok.com/ads/detail/?ad_id=1868966621869441
2026-08-15 04:33:52,kyprianouanna,Κυπριανού Άννα,ΔΗΠΑ,Λευκωσία,manual_resume,1868945498979330,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-06-25,2026-06-26,https://library.tiktok.com/ads/detail/?ad_id=1868945498979330
2026-08-15 04:33:52,antonis.antoniou_,Αντωνή Αντώνης,ΕΔΕΚ,Λάρνακα,manual_resume,1867890581972993,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-06-13,2026-06-18,https://library.tiktok.com/ads/detail/?ad_id=1867890581972993
