observed_at,handle,candidate,party,district,match_type,ad_id,prev_status,new_status,transition_label,new_statement,reach_upper,estimated_eur_mid,first_shown,last_shown,ad_url
2026-06-01 09:30:29,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1865790620612097,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,2,2026-05-21,2026-05-21,https://library.tiktok.com/ads/detail/?ad_id=1865790620612097
2026-06-01 09:30:29,mariapastella1,Παστέλλα Μαρία,ΕΛΑΜ,Λεμεσός,manual_resume,1865708908184721,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,2,2026-05-20,2026-05-21,https://library.tiktok.com/ads/detail/?ad_id=1865708908184721
2026-06-01 09:30:29,neolaia.lakedaimonioi,Πατριωτικό Μέτωπο Λακεδαιμόνιοι — youth wing,ΛΑΚΕΔΑΙΜΟΝΙΟΙ,,party_account,1865696663841794,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,2,2026-05-20,2026-05-21,https://library.tiktok.com/ads/detail/?ad_id=1865696663841794
2026-06-01 09:30:29,allasoneagian,Παπαχριστοφόρου Στυλιανός,ΑΜΔΗ,Αμμόχωστος,manual_resume,1865634918507922,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,2,2026-05-19,2026-05-21,https://library.tiktok.com/ads/detail/?ad_id=1865634918507922
