observed_at,handle,candidate,party,district,match_type,ad_id,prev_status,new_status,transition_label,new_statement,reach_upper,estimated_eur_mid,first_shown,last_shown,ad_url
2026-07-08 06:31:02,deme2023,Χατζησταύρου Δήμητρα,ΑΜΔΗ,Λεμεσός,manual_resume,1869052105415106,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-06-26,2026-06-27,https://library.tiktok.com/ads/detail/?ad_id=1869052105415106
2026-07-07 07:42:27,elenachristou1,Χρίστου Έλεν,ΣΗΚΟΥ ΠΑΝΩ,Λεμεσός,manual_resume,1868966621869441,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-06-25,2026-06-26,https://library.tiktok.com/ads/detail/?ad_id=1868966621869441
2026-07-07 07:42:27,kyprianouanna,Κυπριανού Άννα,ΔΗΠΑ,Λευκωσία,manual_resume,1868945498979330,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-06-25,2026-06-26,https://library.tiktok.com/ads/detail/?ad_id=1868945498979330
