observed_at,handle,candidate,party,district,match_type,ad_id,prev_status,new_status,transition_label,new_statement,reach_upper,estimated_eur_mid,first_shown,last_shown,ad_url
2026-07-06 08:23:54,antonis.antoniou_,Αντωνή Αντώνης,ΕΔΕΚ,Λάρνακα,manual_resume,1867890581972993,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-06-13,2026-06-18,https://library.tiktok.com/ads/detail/?ad_id=1867890581972993
2026-07-06 08:23:54,allasoneagian,Παπαχριστοφόρου Στυλιανός,ΑΜΔΗ,Αμμόχωστος,manual_resume,1865634918507906,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,28,2026-05-19,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865634918507906
2026-07-06 08:23:54,allasoneagian,Παπαχριστοφόρου Στυλιανός,ΑΜΔΗ,Αμμόχωστος,manual_resume,1865258586876929,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-15,2026-05-18,https://library.tiktok.com/ads/detail/?ad_id=1865258586876929
2026-07-06 08:23:54,allasoneagian,Παπαχριστοφόρου Στυλιανός,ΑΜΔΗ,Αμμόχωστος,manual_resume,1865239174396929,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-15,2026-05-18,https://library.tiktok.com/ads/detail/?ad_id=1865239174396929
