observed_at,handle,candidate,party,district,match_type,ad_id,prev_status,new_status,transition_label,new_statement,reach_upper,estimated_eur_mid,first_shown,last_shown,ad_url
2026-06-03 08:58:17,theofilos891,Θεόφιλος — ΕΛΑΜ supporter (torch-march creative),ΕΛΑΜ,,party_supporter,1866332030748674,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-27,2026-05-28,https://library.tiktok.com/ads/detail/?ad_id=1866332030748674
2026-06-03 08:58:17,steliosmohicanstylianou,Στυλιανού Στέλιος,ΕΝΕΡΓΟΙ ΠΟΛΙΤΕΣ,Πάφος,manual_resume,1866264789140737,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,2,2026-05-26,2026-06-01,https://library.tiktok.com/ads/detail/?ad_id=1866264789140737
2026-06-03 08:58:17,almalimassol,,ΑΛΜΑ,Λεμεσός,party_account,1865972357149698,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-23,2026-05-25,https://library.tiktok.com/ads/detail/?ad_id=1865972357149698
2026-06-03 08:58:17,charis_av,,ΣΗΚΟΥ ΠΑΝΩ,,party_supporter,1865913007528977,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-05-22,2026-05-23,https://library.tiktok.com/ads/detail/?ad_id=1865913007528977
2026-06-03 08:58:17,neolaia.lakedaimonioi,Πατριωτικό Μέτωπο Λακεδαιμόνιοι — youth wing,ΛΑΚΕΔΑΙΜΟΝΙΟΙ,,party_account,1865896778542082,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-05-22,2026-05-23,https://library.tiktok.com/ads/detail/?ad_id=1865896778542082
2026-06-03 08:58:17,neolaia.lakedaimonioi,Πατριωτικό Μέτωπο Λακεδαιμόνιοι — youth wing,ΛΑΚΕΔΑΙΜΟΝΙΟΙ,,party_account,1865892704641025,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-05-22,2026-05-23,https://library.tiktok.com/ads/detail/?ad_id=1865892704641025
2026-06-03 08:58:17,maria.loizou85,Λοΐζου Μαρία,ΑΜΔΗ,Λεμεσός,manual_resume,1865881454595074,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-05-22,2026-05-23,https://library.tiktok.com/ads/detail/?ad_id=1865881454595074
2026-06-03 08:58:17,maria.loizou85,Λοΐζου Μαρία,ΑΜΔΗ,Λεμεσός,manual_resume,1865858541217809,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-05-22,2026-05-23,https://library.tiktok.com/ads/detail/?ad_id=1865858541217809
2026-06-03 08:58:17,adiafthoroi,,,,political_movement,1866006982161426,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-23,2026-05-24,https://library.tiktok.com/ads/detail/?ad_id=1866006982161426
2026-06-03 08:58:17,adiafthoroi,,,,political_movement,1866006921808193,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-23,2026-05-24,https://library.tiktok.com/ads/detail/?ad_id=1866006921808193
2026-06-03 08:58:17,adiafthoroi,,,,political_movement,1865990353077265,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-23,2026-05-24,https://library.tiktok.com/ads/detail/?ad_id=1865990353077265
2026-06-03 08:58:17,adiafthoroi,,,,political_movement,1865967414830337,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-23,2026-05-24,https://library.tiktok.com/ads/detail/?ad_id=1865967414830337
2026-06-03 08:58:17,adiafthoroi,,,,political_movement,1865967361398146,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-23,2026-05-24,https://library.tiktok.com/ads/detail/?ad_id=1865967361398146
2026-06-03 08:58:17,adiafthoroi,,,,political_movement,1865967300865025,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-23,2026-05-24,https://library.tiktok.com/ads/detail/?ad_id=1865967300865025
