observed_at,handle,candidate,party,district,match_type,ad_id,prev_status,new_status,transition_label,new_statement,reach_upper,estimated_eur_mid,first_shown,last_shown,ad_url
2026-07-18 06:07:32,neadynami,,Νέα Δυναμική,,political_movement,1869348937019394,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,28,2026-06-29,2026-07-01,https://library.tiktok.com/ads/detail/?ad_id=1869348937019394
2026-07-18 06:07:32,elenachristou1,Χρίστου Έλεν,ΣΗΚΟΥ ΠΑΝΩ,Λεμεσός,manual_resume,1868966621869441,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-06-25,2026-06-26,https://library.tiktok.com/ads/detail/?ad_id=1868966621869441
2026-07-18 06:07:32,kyprianouanna,Κυπριανού Άννα,ΔΗΠΑ,Λευκωσία,manual_resume,1868945498979330,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-06-25,2026-06-26,https://library.tiktok.com/ads/detail/?ad_id=1868945498979330
2026-07-18 06:07:32,allasoneagian,Παπαχριστοφόρου Στυλιανός,ΑΜΔΗ,Αμμόχωστος,manual_resume,1865634918507922,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,2,2026-05-19,2026-05-21,https://library.tiktok.com/ads/detail/?ad_id=1865634918507922
