== Window ==
cutoff_utc,2026-05-28T08:17:39
generated_utc,2026-05-29T08:17:39
total_changes,5

== Transitions ==
prev_status,new_status,count,label
active,inactive,5,stopped running

== TikTok removals - by candidate ==
candidate,party,removed_count
Λοΐζου Μαρία,ΑΜΔΗ,2
Παπαχριστοφόρου Στυλιανός,ΑΜΔΗ,2
Χρυσάνθου Λοΐζος,ΑΜΔΗ,1

== TikTok removals - by party ==
party,removed_count
ΑΜΔΗ,5
