observed_at,handle,candidate,party,district,match_type,ad_id,prev_status,new_status,transition_label,new_statement,reach_upper,estimated_eur_mid,first_shown,last_shown,ad_url
2026-08-27 15:03:07,blackdreamscottage,,ΑΜΔΗ,,party_supporter,1872714472576001,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-08-05,2026-08-06,https://library.tiktok.com/ads/detail/?ad_id=1872714472576001
2026-08-27 15:03:07,blackdreamscottage,,ΑΜΔΗ,,party_supporter,1872602955393025,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,2,2026-08-04,2026-08-05,https://library.tiktok.com/ads/detail/?ad_id=1872602955393025
2026-08-27 15:03:07,deme2023,Χατζησταύρου Δήμητρα,ΑΜΔΗ,Λεμεσός,manual_resume,1870349324383362,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-07-10,2026-07-11,https://library.tiktok.com/ads/detail/?ad_id=1870349324383362
