== Window ==
cutoff_utc,2026-07-07T06:45:07
generated_utc,2026-07-08T06:45:07
total_changes,3

== Transitions ==
prev_status,new_status,count,label
active,inactive,3,stopped running

== TikTok removals - by candidate ==
candidate,party,removed_count
Χατζησταύρου Δήμητρα,ΑΜΔΗ,1
Χρίστου Έλεν,ΣΗΚΟΥ ΠΑΝΩ,1
Κυπριανού Άννα,ΔΗΠΑ,1

== TikTok removals - by party ==
party,removed_count
ΑΜΔΗ,1
ΣΗΚΟΥ ΠΑΝΩ,1
ΔΗΠΑ,1
