observed_at,handle,candidate,party,district,match_type,ad_id,prev_status,new_status,transition_label,new_statement,reach_upper,estimated_eur_mid,first_shown,last_shown,ad_url
2026-05-20 03:47:05,fotinitsiridou,Τσιρίδου Φωτεινή,ΔΗΣΥ,Λεμεσός,manual_resume,1855361507655681,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,,,2026-01-26,2026-01-27,https://library.tiktok.com/ads/detail/?ad_id=1855361507655681
2026-05-20 03:47:02,fotinitsiridou,Τσιρίδου Φωτεινή,ΔΗΣΥ,Λεμεσός,manual_resume,1855216876295233,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,,,2026-01-24,2026-01-25,https://library.tiktok.com/ads/detail/?ad_id=1855216876295233
2026-05-20 03:47:00,fotinitsiridou,Τσιρίδου Φωτεινή,ΔΗΣΥ,Λεμεσός,manual_resume,1855205257297922,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,,,2026-01-24,2026-01-25,https://library.tiktok.com/ads/detail/?ad_id=1855205257297922
2026-05-20 03:46:57,fotinitsiridou,Τσιρίδου Φωτεινή,ΔΗΣΥ,Λεμεσός,manual_resume,1855665009610818,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,,,2026-01-29,2026-01-30,https://library.tiktok.com/ads/detail/?ad_id=1855665009610818
2026-05-20 03:46:54,fotinitsiridou,Τσιρίδου Φωτεινή,ΔΗΣΥ,Λεμεσός,manual_resume,1855908325351426,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,,,2026-02-01,2026-02-02,https://library.tiktok.com/ads/detail/?ad_id=1855908325351426
2026-05-20 03:46:41,michalis_fellas,Φελλάς Μιχάλης,ΔΗΣΥ,Λεμεσός,manual_resume,1860377854434305,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,10000,28,2026-03-22,2026-03-23,https://library.tiktok.com/ads/detail/?ad_id=1860377854434305
2026-05-20 03:46:38,michalis_fellas,Φελλάς Μιχάλης,ΔΗΣΥ,Λεμεσός,manual_resume,1855094098073602,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,100000,275,2026-01-23,2026-01-24,https://library.tiktok.com/ads/detail/?ad_id=1855094098073602
2026-05-20 03:41:55,michalis.kalopaidis,Καλοπαίδης Μιχάλης,ΒΟΛΤ,Λάρνακα,manual_resume,1859473382701057,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,1000,2,2026-03-12,2026-03-13,https://library.tiktok.com/ads/detail/?ad_id=1859473382701057
2026-05-20 03:41:52,michalis.kalopaidis,Καλοπαίδης Μιχάλης,ΒΟΛΤ,Λάρνακα,manual_resume,1844257674067986,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,10000,28,2025-09-25,2025-09-28,https://library.tiktok.com/ads/detail/?ad_id=1844257674067986
2026-05-20 03:41:49,michalis.kalopaidis,Καλοπαίδης Μιχάλης,ΒΟΛΤ,Λάρνακα,manual_resume,1844257674067970,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,10000,28,2025-09-25,2025-09-28,https://library.tiktok.com/ads/detail/?ad_id=1844257674067970
2026-05-20 03:41:46,michalis.kalopaidis,Καλοπαίδης Μιχάλης,ΒΟΛΤ,Λάρνακα,manual_resume,1844255012175873,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,10000,28,2025-09-25,2025-09-26,https://library.tiktok.com/ads/detail/?ad_id=1844255012175873
2026-05-20 03:41:44,michalis.kalopaidis,Καλοπαίδης Μιχάλης,ΒΟΛΤ,Λάρνακα,manual_resume,1857123058716673,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,10000,28,2026-02-14,2026-02-15,https://library.tiktok.com/ads/detail/?ad_id=1857123058716673
2026-05-20 03:41:41,michalis.kalopaidis,Καλοπαίδης Μιχάλης,ΒΟΛΤ,Λάρνακα,manual_resume,1859651035813313,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,10000,28,2026-03-14,2026-03-15,https://library.tiktok.com/ads/detail/?ad_id=1859651035813313
2026-05-20 03:41:38,michalis.kalopaidis,Καλοπαίδης Μιχάλης,ΒΟΛΤ,Λάρνακα,manual_resume,1860072577701058,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,100000,275,2026-03-19,2026-03-20,https://library.tiktok.com/ads/detail/?ad_id=1860072577701058
2026-05-20 03:41:35,michalis.kalopaidis,Καλοπαίδης Μιχάλης,ΒΟΛΤ,Λάρνακα,manual_resume,1845027180553218,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,100000,275,2025-10-04,2025-10-06,https://library.tiktok.com/ads/detail/?ad_id=1845027180553218
2026-05-20 03:41:32,marios.ilia,Ηλιά Μάριος,ΔΗΣΥ,Λευκωσία,manual_resume,1853066998908930,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,1000,2,2025-12-31,2026-01-01,https://library.tiktok.com/ads/detail/?ad_id=1853066998908930
2026-05-20 03:41:29,marios.ilia,Ηλιά Μάριος,ΔΗΣΥ,Λευκωσία,manual_resume,1852785267085570,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,10000,28,2025-12-28,2025-12-29,https://library.tiktok.com/ads/detail/?ad_id=1852785267085570
2026-05-20 03:41:27,marios.ilia,Ηλιά Μάριος,ΔΗΣΥ,Λευκωσία,manual_resume,1850793255396481,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,10000,28,2025-12-06,2025-12-07,https://library.tiktok.com/ads/detail/?ad_id=1850793255396481
2026-05-20 03:41:24,marios.ilia,Ηλιά Μάριος,ΔΗΣΥ,Λευκωσία,manual_resume,1851201787303937,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,10000,28,2025-12-11,2025-12-12,https://library.tiktok.com/ads/detail/?ad_id=1851201787303937
2026-05-20 03:41:21,marios.ilia,Ηλιά Μάριος,ΔΗΣΥ,Λευκωσία,manual_resume,1862918914382850,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,100000,275,2026-04-19,2026-05-13,https://library.tiktok.com/ads/detail/?ad_id=1862918914382850
2026-05-20 03:41:18,marios.ilia,Ηλιά Μάριος,ΔΗΣΥ,Λευκωσία,manual_resume,1862409421319169,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,100000,275,2026-04-14,2026-04-18,https://library.tiktok.com/ads/detail/?ad_id=1862409421319169
2026-05-20 03:41:15,marios.ilia,Ηλιά Μάριος,ΔΗΣΥ,Λευκωσία,manual_resume,1861633132844546,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,100000,275,2026-04-05,2026-04-09,https://library.tiktok.com/ads/detail/?ad_id=1861633132844546
2026-05-20 03:41:12,marios.ilia,Ηλιά Μάριος,ΔΗΣΥ,Λευκωσία,manual_resume,1857943464472770,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,100000,275,2026-02-23,2026-03-01,https://library.tiktok.com/ads/detail/?ad_id=1857943464472770
2026-05-20 03:41:09,marios.ilia,Ηλιά Μάριος,ΔΗΣΥ,Λευκωσία,manual_resume,1859933876558849,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,100000,275,2026-03-17,2026-03-27,https://library.tiktok.com/ads/detail/?ad_id=1859933876558849
2026-05-20 03:40:55,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1856757922338818,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,10000,28,2026-02-10,2026-02-11,https://library.tiktok.com/ads/detail/?ad_id=1856757922338818
2026-05-20 03:40:52,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1846593017688129,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,10000,28,2025-10-21,2025-10-22,https://library.tiktok.com/ads/detail/?ad_id=1846593017688129
2026-05-20 03:40:44,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1861800621763586,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,10000,28,2026-04-07,2026-04-08,https://library.tiktok.com/ads/detail/?ad_id=1861800621763586
2026-05-20 03:40:29,charalampos.pazaros_,Παζάρος Χαράλαμπος,ΔΗΣΥ,Πάφος,manual_resume,1863559154966721,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,1000,2,2026-04-26,2026-04-26,https://library.tiktok.com/ads/detail/?ad_id=1863559154966721
2026-05-20 03:40:26,charalampos.pazaros_,Παζάρος Χαράλαμπος,ΔΗΣΥ,Πάφος,manual_resume,1862469832482833,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,1000,2,2026-04-14,2026-04-14,https://library.tiktok.com/ads/detail/?ad_id=1862469832482833
2026-05-20 03:40:23,charalampos.pazaros_,Παζάρος Χαράλαμπος,ΔΗΣΥ,Πάφος,manual_resume,1858844263642114,active,inactive,stopped running,Removed from TikTok due to a violation of TikTok's terms,1000,2,2026-03-05,2026-03-07,https://library.tiktok.com/ads/detail/?ad_id=1858844263642114
