observed_at,handle,candidate,party,district,match_type,ad_id,prev_status,new_status,transition_label,new_statement,reach_upper,estimated_eur_mid,first_shown,last_shown,ad_url
2026-06-02 08:41:32,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1865816252976210,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865816252976210
2026-06-02 08:41:32,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1865814803362129,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,275,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865814803362129
2026-06-02 08:41:32,maria.loizou85,Λοΐζου Μαρία,ΑΜΔΗ,Λεμεσός,manual_resume,1865792342005122,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865792342005122
2026-06-02 08:41:32,maria.loizou85,Λοΐζου Μαρία,ΑΜΔΗ,Λεμεσός,manual_resume,1865784031814849,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865784031814849
2026-06-02 08:41:32,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1865815402492930,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,2,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865815402492930
2026-06-02 08:41:32,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1865823385011202,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,2,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865823385011202
2026-06-02 08:41:32,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1865832650624146,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,2,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865832650624146
2026-06-02 08:41:32,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1865817227717890,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,2,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865817227717890
2026-06-02 08:41:32,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1865823439575234,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,28,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865823439575234
2026-06-02 08:41:32,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1865823490008386,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,28,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865823490008386
2026-06-02 08:41:32,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1865823558854673,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,28,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865823558854673
2026-06-02 08:41:32,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1865815886734337,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,28,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865815886734337
2026-06-02 08:41:32,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1865817801481345,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,28,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865817801481345
2026-06-02 08:41:32,neolaia.lakedaimonioi,Πατριωτικό Μέτωπο Λακεδαιμόνιοι — youth wing,ΛΑΚΕΔΑΙΜΟΝΙΟΙ,,party_account,1865794185869313,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,2,2026-05-21,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865794185869313
2026-06-02 08:41:32,allasoneagian,Παπαχριστοφόρου Στυλιανός,ΑΜΔΗ,Αμμόχωστος,manual_resume,1865634918507906,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,28,2026-05-19,2026-05-22,https://library.tiktok.com/ads/detail/?ad_id=1865634918507906
2026-06-01 09:30:29,loizos_chrysanthou,Χρυσάνθου Λοΐζος,ΑΜΔΗ,Λευκωσία,manual_resume,1865790620612097,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,100000,2,2026-05-21,2026-05-21,https://library.tiktok.com/ads/detail/?ad_id=1865790620612097
2026-06-01 09:30:29,mariapastella1,Παστέλλα Μαρία,ΕΛΑΜ,Λεμεσός,manual_resume,1865708908184721,active,inactive,REMOVED BY TIKTOK,No longer returned by API — deactivated or removed,10000,2,2026-05-20,2026-05-21,https://library.tiktok.com/ads/detail/?ad_id=1865708908184721
